Metric,Unit,Value
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,8.40
sm__warps_active.avg.pct_of_peak_sustained_active,%,22.57
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.37
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.99
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.06
sm__warps_active.avg.pct_of_peak_sustained_active,%,7.42
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.61
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.99
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.85
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.96
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.19
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.97
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.67
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.42
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.32
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.96
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.45
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.23
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.51
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.99
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.13
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.80
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.97
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.70
sm__warps_active.avg.pct_of_peak_sustained_active,%,9.66
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.07
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.55
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.99
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.71
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.39
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.47
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.71
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.98
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.30
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.14
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.95
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.05
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.02
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.92
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.99
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.20
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.19
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.89
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.87
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.39
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.65
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,79.46
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.95
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.49
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.49
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.99
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.96
sm__warps_active.avg.pct_of_peak_sustained_active,%,10.18
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.08
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.45
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.36
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.72
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.62
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.25
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.07
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.14
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.95
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,21.63
sm__warps_active.avg.pct_of_peak_sustained_active,%,74.69
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.27
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.99
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,89.54
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.02
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.01
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.02
sm__warps_active.avg.pct_of_peak_sustained_active,%,4.90
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.01
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,100
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,0.01
sm__warps_active.avg.pct_of_peak_sustained_active,%,6.24
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.01
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,0
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,19.25
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.76
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.20
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,123.83
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,128.67
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.30
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.67
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.23
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,131.16
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,119.83
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,10.40
sm__warps_active.avg.pct_of_peak_sustained_active,%,21.05
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.32
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.08
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,87.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,19.14
sm__warps_active.avg.pct_of_peak_sustained_active,%,36.97
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.11
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,84.34
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.54
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.94
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.37
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.10
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.56
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.94
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.35
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.10
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.87
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.37
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.56
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.90
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.43
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,10.30
sm__warps_active.avg.pct_of_peak_sustained_active,%,21.03
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.32
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.08
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,87.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,18.59
sm__warps_active.avg.pct_of_peak_sustained_active,%,36.96
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.10
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,88.04
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,84.36
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.56
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.84
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.17
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.93
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.43
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.54
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.87
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.43
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.31
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.46
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.86
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.12
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.72
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,10.25
sm__warps_active.avg.pct_of_peak_sustained_active,%,21.09
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.33
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.13
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,87.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,18.16
sm__warps_active.avg.pct_of_peak_sustained_active,%,35.27
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.10
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,88.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,84.43
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.31
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.46
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.85
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.11
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,80.01
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.56
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.59
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.60
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.77
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.74
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,78.39
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,80.03
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.54
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.22
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.60
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.73
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.73
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,78.43
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.81
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.47
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.60
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.73
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.76
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,79.58
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,80.03
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,9.75
sm__warps_active.avg.pct_of_peak_sustained_active,%,21.03
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.33
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.21
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,87.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,15.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,30.69
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,84.34
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.75
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.62
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.79
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.10
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,78.92
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.90
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.52
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.44
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.48
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.49
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.05
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,79.59
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,79.81
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.51
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.37
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.81
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.30
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.44
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.10
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,78.99
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.89
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.06
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.92
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.36
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,76.76
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.51
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.09
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.45
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,79.67
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,79.86
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,9.51
sm__warps_active.avg.pct_of_peak_sustained_active,%,36.07
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.39
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.56
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,87.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,21.58
sm__warps_active.avg.pct_of_peak_sustained_active,%,22.31
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.07
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,84.42
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.50
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.71
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.92
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.75
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,79.13
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.48
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.76
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.54
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.77
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.19
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.37
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.55
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.51
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.76
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.54
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.80
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.27
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,79.72
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,79.93
