Metric,Unit,Value
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.40
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.26
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,10.34
sm__warps_active.avg.pct_of_peak_sustained_active,%,21.03
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.32
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.08
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,87.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,18.52
sm__warps_active.avg.pct_of_peak_sustained_active,%,36.98
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.10
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,88.04
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,84.36
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.38
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.22
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.38
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.14
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.28
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.37
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.20
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.31
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.46
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.28
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.85
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.72
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,10.22
sm__warps_active.avg.pct_of_peak_sustained_active,%,21.05
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.33
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.13
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,87.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,17.77
sm__warps_active.avg.pct_of_peak_sustained_active,%,35.17
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.10
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,88.05
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,84.43
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.55
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.31
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.46
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.27
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.77
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,80.01
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.54
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.59
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.60
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.14
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.47
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,78.39
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,80.03
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.51
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.22
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.60
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.20
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.42
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,78.43
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.81
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.51
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.47
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.60
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.17
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.44
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,79.58
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,80.03
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,9.74
sm__warps_active.avg.pct_of_peak_sustained_active,%,21.03
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.33
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.21
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,87.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,15.95
sm__warps_active.avg.pct_of_peak_sustained_active,%,30.62
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.09
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,84.34
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.54
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.75
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,3.11
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.65
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,78.92
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.90
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.52
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.44
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.48
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.91
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.73
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,79.59
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,79.81
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.49
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.37
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.81
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.68
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.37
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,78.99
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.89
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.06
sm__warps_active.avg.pct_of_peak_sustained_active,%,24.93
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.36
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,76.76
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.51
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.45
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.29
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,79.67
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,79.86
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,9.44
sm__warps_active.avg.pct_of_peak_sustained_active,%,36.14
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.39
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,82.56
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,87.50
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,20.85
sm__warps_active.avg.pct_of_peak_sustained_active,%,22.32
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,99.06
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,84.42
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.48
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.48
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.71
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.33
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.15
sm__warps_active.avg.pct_of_peak_sustained_active,%,23.37
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.11
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,79.13
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,100
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.48
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.24
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.76
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.54
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.09
sm__warps_active.avg.pct_of_peak_sustained_active,%,22.74
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,80.37
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,99.55
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,1.50
sm__warps_active.avg.pct_of_peak_sustained_active,%,12.49
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.25
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,81.76
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,83.54
dram__throughput.avg.pct_of_peak_sustained_elapsed,%,2.08
sm__warps_active.avg.pct_of_peak_sustained_active,%,22.88
smsp__inst_executed.avg.per_cycle_active,inst/cycle,0.12
smsp__sass_average_data_bytes_per_sector_mem_global_op_ld.pct,%,79.72
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.pct,%,79.93
