CUDA API Statistics:

 Time(%)  Total Time (ns)  Num Calls     Average     Minimum     Maximum               Name
     0.1       33,217,947     14,304    2,322.3    1,983    2,656  void (anonymous namespace)::softmax_warp_forward<float, float, float, 6, false>(float*, float const…
     0.0       18,327,336      7,799    2,350.0    1,504    3,360  void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator&,…
     0.0       12,237,812      6,360    1,924.2    1,664    2,112  void (anonymous namespace)::softmax_warp_forward<float, float, float, 5, false>(float*, float const…
     0.0       11,155,233      7,799    1,430.3    1,120    1,696  void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<at::native::AddFunctor<…
     0.0       10,642,596      7,799    1,364.6    1,153    1,473  void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<at::native::CompareEqFu…
     0.0       10,381,527      7,799    1,331.1    1,120    1,535  void kernelPointwiseApply2<TensorMaskedFillOp<float, bool>, float, bool, unsigned int, 1, 2>(Offset…
     0.0        4,992,188        142   35,156.3    4,032   50,335  void gemmSN_TN_kernel<float, 128, 16, 2, 4, 6, 7, false, cublasGemvTensorStridedBatched<float const…
     0.0        3,817,544        134   28,489.1    4,576   36,576  void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, false, cublasGemvTensorStridedBatched<float const…
     0.0        3,304,107      1,080    3,059.4    2,495    3,425  void gemmSN_NN_kernel<float, 128, 2, 4, 8, 4, 4, cublasGemvTensorStridedBatched<float const>, cubla…
     0.0        2,926,634         78   37,520.9    5,152   44,064  void gemmSN_TN_kernel<float, 128, 16, 2, 4, 10, 11, false, cublasGemvTensorStridedBatched<float con…
     0.0        2,322,158        291    7,979.9    2,880   11,456  void at::native::(anonymous namespace)::indexSelectSmallIndex<float, long, unsigned int, 2, 2, -2>(…
     0.0        1,751,753        948    1,847.8    1,632    1,984  void (anonymous namespace)::softmax_warp_forward<float, float, float, 4, false>(float*, float const…
     0.0        1,626,483        456    3,566.8    3,104    3,872  void gemmSN_NN_kernel<float, 128, 2, 4, 8, 7, 4, cublasGemvTensorStridedBatched<float const>, cubla…
     0.0        1,522,330         65   23,420.5    3,935   26,144  void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, false, cublasGemvTensorStridedBatched<float const…
     0.0        1,410,332        432    3,264.7    2,912    3,520  void gemmSN_NN_kernel<float, 128, 2, 4, 8, 6, 4, cublasGemvTensorStridedBatched<float const>, cubla…
     0.0          604,159        192    3,146.7    2,784    3,489  void gemmSN_NN_kernel<float, 128, 2, 4, 8, 5, 4, cublasGemvTensorStridedBatched<float const>, cubla…
     0.0          502,842        168    2,993.1    2,655    3,328  void gemmSN_NN_kernel<float, 128, 2, 4, 8, 3, 4, cublasGemvTensorStridedBatched<float const>, cubla…
     0.0          280,258        156    1,796.5    1,728    1,857  void (anonymous namespace)::softmax_warp_forward<float, float, float, 3, false>(float*, float const…
     0.0          131,937         19    6,944.1    6,016    7,456  void gemmSN_TN_kernel<float, 128, 16, 2, 4, 14, 15, false, cublasGemvTensorStridedBatched<float con…
     0.0          103,228         60    1,720.5    1,695    1,760  void (anonymous namespace)::softmax_warp_forward<float, float, float, 2, false>(float*, float const…



CUDA Memory Operation Statistics (by time):

 Time(%)  Total Time (ns)  Operations  Average   Minimum   Maximum        Operation
 -------  ---------------  ----------  --------  -------  ----------  ------------------
    81.4      698,597,965      31,360  22,276.7    1,151  85,796,111  [CUDA memcpy HtoD]
    17.3      148,146,002     120,588   1,228.5    1,120       2,303  [CUDA memset]
     1.3       11,395,864       7,846   1,452.4    1,216      70,880  [CUDA memcpy DtoD]



CUDA Memory Operation Statistics (by size in KiB):

     Total      Operations  Average  Minimum    Maximum        Operation
 -------------  ----------  -------  -------  -----------  ------------------
    90,690.113       7,846   11.559    0.008   19,456.000  [CUDA memcpy DtoD]
 5,858,091.797      31,360  186.801    0.008  401,408.000  [CUDA memcpy HtoD]
    24,072.750     120,588    0.200    0.070        0.563  [CUDA memset]



Operating System Runtime API Statistics:

 Time(%)  Total Time (ns)  Num Calls     Average       Minimum      Maximum               Name
 -------  ---------------  ---------  -------------  -----------  -----------  --------------------------
    50.5  243,395,722,561      2,407  101,119,951.2        4,262  262,742,322  poll
    49.0  236,049,883,275        472  500,105,684.9  500,067,955  500,148,149  pthread_cond_timedwait
     0.3    1,229,248,289     65,666       18,719.7        1,000  207,524,524  read
     0.1      549,548,313    146,887        3,741.3        1,000      639,900  sched_yield
     0.1      257,946,835      2,642       97,633.2        1,012   20,855,404  ioctl
     0.0      109,033,564     17,221        6,331.4        1,401       21,721  open64
     0.0       94,557,564        484      195,366.9        1,455      965,123  pthread_rwlock_wrlock
     0.0       19,065,552         42      453,941.7        1,121   18,678,245  fopen
     0.0       15,746,799         41      384,068.3       64,915   11,984,381  sleep
     0.0       12,407,846         83      149,492.1       65,152      410,368  pthread_create
     0.0       12,335,190        208       59,303.8        1,422      727,688  pthread_mutex_lock
     0.0       10,962,164        917       11,954.4        1,034       57,712  pthread_rwlock_timedwrlock
     0.0        9,096,184        299       30,422.0        1,518    1,002,355  mmap
     0.0        4,890,031        469       10,426.5        1,462       77,777  munmap
     0.0        3,703,524        621        5,963.8        1,175      159,712  mmap64
     0.0        3,681,518        422        8,724.0        1,036       69,934  pthread_cond_signal
     0.0        3,552,252        538        6,602.7        1,712       71,844  fgets
     0.0        3,322,769          2    1,661,384.5      531,871    2,790,898  fork
     0.0        2,680,642         83       32,296.9        1,398      170,313  mprotect
     0.0        1,640,289         11      149,117.2       66,306      716,462  sem_timedwait
     0.0          631,971         36       17,554.8        2,244       62,416  write
     0.0          437,773         67        6,533.9        2,021       19,190  fopen64
     0.0          436,167          3      145,389.0        1,207      432,609  fread
     0.0          292,879         15       19,525.3        5,930       43,725  connect
     0.0          174,163         12       14,513.6        1,873      112,664  open
     0.0          164,619         47        3,502.5        1,067       13,833  fclose
     0.0          152,487         21        7,261.3        1,045       18,900  fflush
     0.0          112,757         17        6,632.8        3,555        9,413  socket
     0.0           75,665          2       37,832.5       32,115       43,550  waitpid
     0.0           62,930         12        5,244.2        1,860       10,088  fgets_unlocked
     0.0           49,986         14        3,570.4        2,382        5,346  recvfrom
     0.0           33,567         25        1,342.7        1,001        1,953  fcntl
     0.0           29,128          5        5,825.6        1,608       10,102  fgetc
     0.0           23,864          5        4,772.8        2,383        7,956  pipe2
     0.0            6,965          5        1,393.0        1,236        1,628  pthread_mutex_trylock
     0.0            6,019          2        3,009.5        1,891        4,128  bind
     0.0            3,910          3        1,303.3        1,028        1,591  sigaction
     0.0            3,056          1        3,056.0        3,056        3,056  fputs_unlocked
     0.0            1,093          1        1,093.0        1,093        1,093  dup
444783
